Time,Player,Power,Goroutine,Match Number,Duration(ms)
2025-04-18T17:17:35.4866312+07:00,A,114,playerA,1,0
2025-04-18T17:17:35.5314296+07:00,B,112,playerB,1,0
2025-04-18T17:22:21.5460021+07:00,A,97,playerA,2,0
2025-04-18T17:22:21.5964647+07:00,B,94,playerB,2,0
2025-04-18T17:22:28.9632892+07:00,A,102,playerA,3,0
2025-04-18T17:22:29.0116395+07:00,B,81,playerB,3,0
2025-04-18T17:22:33.3296507+07:00,A,128,playerA,4,0
2025-04-18T17:22:33.3752788+07:00,B,108,playerB,4,0
2025-04-18T17:22:35.5351859+07:00,A,96,playerA,5,0
2025-04-18T17:22:35.5822442+07:00,B,95,playerB,5,0
2025-04-18T17:22:36.3123133+07:00,A,127,playerA,6,0
2025-04-18T17:22:36.3585612+07:00,B,96,playerB,6,0
2025-04-18T17:22:36.9434508+07:00,A,117,playerA,7,0
2025-04-18T17:22:36.9904321+07:00,B,126,playerB,7,0
2025-04-18T17:22:37.0367641+07:00,A,89,playerA,7,0
2025-04-18T17:22:37.0833249+07:00,B,115,playerB,7,0
2025-04-18T17:22:37.1291553+07:00,A,83,playerA,7,0
2025-04-18T17:22:37.1765332+07:00,B,81,playerB,7,0
2025-04-18T17:22:37.9076082+07:00,A,99,playerA,8,0
2025-04-18T17:22:37.9534975+07:00,B,98,playerB,8,0
2025-04-18T17:22:38.5787047+07:00,A,88,playerA,9,0
2025-04-18T17:22:38.6236827+07:00,B,93,playerB,9,0
2025-04-18T17:22:38.6702082+07:00,A,53,playerA,9,0
2025-04-18T17:22:38.7162226+07:00,B,112,playerB,9,0
2025-04-18T17:22:38.7625043+07:00,A,78,playerA,9,0
2025-04-18T17:22:38.8107138+07:00,B,89,playerB,9,0
2025-04-18T17:22:38.8567906+07:00,A,57,playerA,9,0
2025-04-18T17:22:38.9056768+07:00,B,80,playerB,9,0
2025-04-18T17:22:38.9539455+07:00,A,49,playerA,9,0
2025-04-18T17:22:39.0024475+07:00,B,113,playerB,9,0
2025-04-18T17:22:39.0483821+07:00,A,73,playerA,9,0
2025-04-18T17:22:39.0939812+07:00,B,80,playerB,9,0
2025-04-18T17:22:39.1390899+07:00,A,53,playerA,9,0
2025-04-18T17:22:39.18552+07:00,B,128,playerB,9,0
2025-04-18T17:22:39.2313007+07:00,A,81,playerA,9,0
2025-04-18T17:22:39.6426449+07:00,B,118,playerB,9,0
2025-04-18T17:22:39.6912896+07:00,A,78,playerA,9,0
2025-04-18T17:22:40.0836337+07:00,B,128,playerB,9,0
2025-04-18T17:22:40.1270784+07:00,A,68,playerA,9,0
2025-04-18T17:22:40.5213769+07:00,B,121,playerB,9,0
2025-04-18T17:22:40.5663545+07:00,A,75,playerA,9,0
2025-04-18T17:22:41.0550556+07:00,B,89,playerB,9,0
2025-04-18T17:22:41.1005828+07:00,A,54,playerA,9,0
2025-04-18T17:22:41.3886952+07:00,B,115,playerB,9,0
2025-04-18T17:22:41.4372136+07:00,A,90,playerA,9,0
2025-04-18T17:22:42.0394463+07:00,B,103,playerB,9,0
2025-04-18T17:22:42.0872552+07:00,A,81,playerA,9,0
2025-04-18T17:22:42.5343266+07:00,B,99,playerB,9,0
